No.,Execution Time
1555,1.2551
1556,1.1672
1557,1.21342
1558,1.18792
1559,1.27345
1560,1.33585
1561,1.31298
1562,1.24252
1563,1.26693
1564,1.19584
1565,1.21794
1566,1.20403
1567,1.27681
1568,1.24431
1569,1.23534
1570,1.29377
1571,1.20996
1572,1.23507
1573,1.18196
1574,1.2107
1575,1.26158
1576,1.1781
1577,1.26489
1578,1.28264
1579,1.19727
1580,1.18918
1581,1.23412
1582,1.24556
1583,1.24383
1584,1.19067
1585,1.29242
1586,1.27866
1587,1.29803
1588,1.34687
1589,1.3548
1590,1.36694
1591,1.30565
1592,1.33974
1593,1.28333
1594,1.34244
1595,1.32745
1596,1.23725
1597,1.27241
1598,1.26647
1599,1.19281
1600,1.18551
1601,1.44515
1602,1.3249
1603,1.3275
1604,1.31894
1605,1.26877
1606,1.34326
1607,1.30847
1608,1.34516
1609,1.2876
1610,1.29255
1611,1.36348
1612,1.33877
1613,1.34366
1614,1.34111
1615,1.3916
1616,1.33866
1617,1.30331
1618,1.28008
1619,1.37448
1620,1.2818
1621,1.34188
1622,1.35418
1623,1.33371
1624,1.29327
1625,1.32481
1626,1.36954
1627,1.28174
1628,1.3734
1629,1.3068
1630,1.33934
1631,1.26545
1632,1.30771
1633,1.28899
1634,1.33647
1635,1.36794
1636,1.29555
1637,1.24672
1638,1.25334
1639,1.24263
1640,1.29151
1641,1.27984
1642,1.19915
1643,1.25982
1644,1.30164
1645,1.32944
1646,1.27976
1647,1.25109
1648,1.23331
1649,1.30422
1650,1.2683
1651,1.31078
1652,1.24522
1653,1.32379
1654,1.2827
1655,1.24803
1656,1.27376
1657,1.37444
1658,1.26911
1659,1.29741
1660,1.32647
1661,1.29881
1662,1.25654
1663,1.30007
1664,1.33594
1665,1.29227
1666,1.3111
1667,1.36735
1668,1.29391
1669,1.30525
1670,1.30332
1671,1.29599
1672,1.29023
1673,1.31421
1674,1.32873
1675,1.25758
1676,1.27318
1677,1.30987
1678,1.27195
1679,1.32668
1680,1.27245
1681,1.25566
1682,1.24023
1683,1.27896
1684,1.2325
1685,1.23462
1686,1.25306
1687,1.22242
1688,1.26571
1689,1.32324
1690,1.26018
1691,1.20108
1692,1.27527
1693,1.27582
1694,1.28146
1695,1.22613
1696,1.25843
1697,1.22004
1698,1.24802
1699,1.25473
1700,1.25483
1701,1.22128
1702,1.20603
1703,1.1943
1704,1.2413
1705,1.26632
1706,1.19855
1707,1.20192
1708,1.2208
1709,1.30899
1710,1.22259
1711,1.22079
1712,1.25525
1713,1.29182
1714,1.23579
1715,1.17439
1716,1.23368
1717,1.25127
1718,1.2489
1719,1.24632
1720,1.26508
1721,1.211
1722,1.27366
1723,1.28778
1724,1.23626
1725,1.19924
1726,1.28096
1727,1.26063
1728,1.2211
1729,1.22139
1730,1.17103
1731,1.24652
1732,1.20292
1733,1.18793
1734,1.19813
1735,1.21262
1736,1.22533
1737,1.23156
1738,1.18634
1739,1.20873
1740,1.22656
1741,1.23859
1742,1.24512
1743,1.21939
1744,1.16113
1745,1.17749
1746,1.22016
1747,1.2163
1748,1.23953
1749,1.26801
1750,1.25232
1751,1.21842
1752,1.22757
1753,1.18437
1754,1.17979
1755,1.15274
1756,1.24282
1757,1.18414
1758,1.23497
1759,1.19682
1760,1.19623
1761,1.18925
1762,1.20533
1763,1.28059
1764,1.22932
1765,1.23649
1766,1.17628
1767,1.26845
1768,1.24526
1769,1.21393
1770,1.19398
1771,1.24716
1772,1.2955
1773,1.23494
1774,1.21828
1775,1.20297
1776,1.22734
1777,1.20526
1778,1.21802
1779,1.17
1780,1.19986
1781,1.25574
1782,1.2878
1783,1.21423
1784,1.27415
1785,1.21823
1786,1.23388
1787,1.24783
1788,1.21363
1789,1.16112
1790,1.17293
1791,1.26537
1792,1.24039
1793,1.21477
1794,1.2046
1795,1.17886
1796,1.17916
1797,1.22721
1798,1.21453
1799,1.2268
1800,1.23547
1801,1.24241
1802,1.17959
1803,1.18315
1804,1.18965
1805,1.25502
1806,1.25481
1807,1.21368
1808,1.23436
1809,1.17109
1810,1.18395
1811,1.19781
1812,1.20188
1813,1.18936
1814,1.25324
1815,1.23094
1816,1.24284
1817,1.20953
1818,1.21003
1819,1.18996
1820,1.19901
1821,1.19075
1822,1.25579
1823,1.2224
1824,1.16051
1825,1.18715
1826,1.25616
1827,1.2286
1828,1.21116
1829,1.19631
1830,1.18681
1831,1.17765
1832,1.16488
1833,1.16337
1834,1.19902
1835,1.17401
1836,1.16448
1837,1.16768
1838,1.2391
1839,1.18465
1840,1.25669
1841,1.19698
1842,1.24624
1843,1.20655
1844,1.23522
1845,1.22039
1846,1.193
1847,1.25405
1848,1.17717
1849,1.21642
1850,1.22956
1851,1.21732
1852,1.27119
1853,1.21206
1854,1.20752
1855,1.17272
1856,1.23196
1857,1.27561
1858,1.20275
1859,1.17912
1860,1.26442
1861,1.21435
1862,1.16222
1863,1.1892
1864,1.27384
1865,1.2648
1866,1.25992
1867,1.19345
1868,1.21637
1869,1.25812
1870,1.22712
